DATE,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK,USD
2018-04-18,0.7784,1.2629000000000001,0.96875,1.2373500000000002,1.4203000000000001,107.235,7.7616,0.7319,8.4042,1.0
2018-04-17,0.7766500000000001,1.2548,0.9661500000000001,1.23705,1.4288,107.005,7.7614,0.7343,8.4036,1.0
2018-04-16,0.778,1.2565,0.9600500000000001,1.23795,1.4338,107.115,7.775600000000001,0.7363,8.4169,1.0
2018-04-13,0.7767999999999999,1.2612999999999999,0.9624,1.2331,1.4241,107.345,7.774900000000001,0.7359,8.473700000000001,1.0
2018-04-12,0.77545,1.2584,0.9626,1.2327,1.4227500000000002,107.335,7.7707999999999995,0.7376,8.4071,1.0
2018-04-11,0.7755,1.258,0.9577,1.2367,1.41785,106.795,7.762600000000001,0.7358,8.3259,1.0
2018-04-10,0.7761,1.2603,0.9571000000000001,1.2356,1.4175,107.205,7.7951,0.73615,8.302,1.0
2018-04-09,0.7698,1.2698,0.9561999999999999,1.23205,1.4131,106.765,7.785,0.7307,8.358,1.0
2018-04-06,0.7677499999999999,1.2784,0.9592499999999999,1.2283,1.4092500000000001,106.93,7.829700000000001,0.72645,8.3911,1.0
2018-04-05,0.7685,1.2749,0.9634,1.224,1.40035,107.38,7.8309999999999995,0.7278,8.4184,1.0
2018-04-04,0.7717,1.277,0.9608,1.2278,1.40815,106.78,7.8245000000000005,0.7306,8.4019,1.0
2018-04-03,0.76845,1.2807,0.95885,1.2270500000000002,1.40585,106.605,7.8382000000000005,0.7258,8.3913,1.0
2018-04-02,0.7664500000000001,1.2913000000000001,0.9554,1.2302,1.40455,105.895,7.8873999999999995,0.7213,8.3915,1.0
2018-03-30,0.7679,1.2894,0.9541,1.23225,1.4017499999999998,106.275,7.850300000000001,0.7236,8.3423,1.0
2018-03-29,0.7678,1.2884,0.9565,1.23015,1.4017,106.43,7.8413,0.7234499999999999,8.3603,1.0
2018-03-28,0.76615,1.2923,0.9567,1.23085,1.40775,106.85499999999999,7.8624,0.7212000000000001,8.350999999999999,1.0
2018-03-27,0.7679,1.2883,0.9468,1.2403,1.4157,105.345,7.71795,0.7269,8.2311,1.0
2018-03-26,0.77485,1.2841,0.94565,1.24425,1.42285,105.41,7.6813,0.72985,8.1908,1.0
2018-03-23,0.7697499999999999,1.2893,0.9472,1.2353,1.4133499999999999,104.74000000000001,7.7558,0.7235,8.2472,1.0
2018-03-22,0.7693,1.29405,0.9492,1.23015,1.4096,105.275,7.7504,0.7206,8.256499999999999,1.0
2018-03-21,0.77655,1.2903,0.94975,1.2338,1.41415,106.055,7.6958,0.7229,8.1836,1.0
2018-03-20,0.7683,1.30715,0.9565,1.2242,1.3998,106.535,7.747249999999999,0.7183999999999999,8.2217,1.0
2018-03-19,0.7718,1.3077,0.9511000000000001,1.2335,1.4024,106.095,7.7234,0.7243999999999999,8.1695,1.0
2018-03-16,0.7716000000000001,1.3097,0.9521999999999999,1.2288999999999999,1.39405,106.015,7.7156,0.7217,8.1929,1.0
2018-03-15,0.77985,1.30525,0.9515,1.2304499999999998,1.3937499999999998,106.345,7.71425,0.7278,8.1802,1.0
2018-03-14,0.78775,1.2955,0.9450000000000001,1.2367,1.3961000000000001,106.32499999999999,7.73,0.7332000000000001,8.183,1.0
2018-03-13,0.7859499999999999,1.2965,0.944,1.2389999999999999,1.39615,106.575,7.736800000000001,0.7324999999999999,8.2165,1.0
2018-03-12,0.78725,1.2839,0.9476,1.2334,1.3905500000000002,106.41499999999999,7.7443,0.7296,8.243099999999998,1.0
2018-03-09,0.7851,1.28125,0.9512,1.2307000000000001,1.3849,106.79499999999999,7.7771,0.7282500000000001,8.2441,1.0
2018-03-08,0.77915,1.2896,0.9512,1.2312,1.3812,106.205,7.8398,0.7263999999999999,8.2628,1.0
2018-03-07,0.7825500000000001,1.2912,0.9435,1.2413500000000002,1.39015,106.075,7.809799999999999,0.7284999999999999,8.2301,1.0
2018-03-06,0.7827999999999999,1.2876,0.9407,1.2404,1.38875,106.125,7.777,0.729,8.2072,1.0
2018-03-05,0.7765,1.2964,0.94,1.2336,1.3849,106.205,7.819050000000001,0.7226,8.263300000000001,1.0
2018-03-02,0.7764,1.288,0.9381999999999999,1.23175,1.3805,105.75,7.7859,0.7236,8.2488,1.0
2018-03-01,0.7756000000000001,1.2839,0.9419,1.22675,1.3776,106.24000000000001,7.8443000000000005,0.7249,8.249649999999999,1.0
2018-02-28,0.77615,1.2832,0.9446,1.2194500000000001,1.37605,106.67500000000001,7.9016,0.7212000000000001,8.2908,1.0
2018-02-27,0.77895,1.2776,0.9390000000000001,1.2232500000000002,1.3909500000000001,107.33,7.8683,0.72355,8.2263,1.0
2018-02-26,0.7855,1.2681,0.93805,1.2318,1.3967,106.935,7.8238,0.7303999999999999,8.1506,1.0
2018-02-23,0.78445,1.263,0.9368000000000001,1.2293500000000002,1.39675,106.88499999999999,7.8475,0.72905,8.174949999999999,1.0
2018-02-22,0.78455,1.2705,0.93275,1.2331,1.3956,106.755,7.8545,0.734,8.1159,1.0
2018-02-21,0.7804,1.2702499999999999,0.93895,1.2284,1.3918,107.775,7.8675,0.7319,8.1191,1.0
2018-02-20,0.78835,1.2646,0.9362,1.2338,1.3996,107.325,7.8407,0.7348,8.0962,1.0
2018-02-19,0.79125,1.2561,0.9291499999999999,1.2407499999999998,1.4005,106.6,7.7789,0.7372000000000001,7.9841,1.0
