DATE,SPY
2010-02-17,110.43
2010-02-18,110.315
2010-02-19,111.14500000000001
2010-02-22,111.16499999999999
2010-02-23,110.13499999999999
2010-02-24,110.765
2010-02-25,110.62
2010-02-26,110.975
2010-03-01,111.845
2010-03-02,112.245
2010-03-03,112.305
2010-03-04,112.67500000000001
2010-03-05,114.095
2010-03-08,114.185
2010-03-09,114.505
2010-03-10,114.995
2010-03-11,115.535
2010-03-12,115.525
2010-03-15,115.565
2010-03-16,116.375
2010-03-17,117.10499999999999
2010-03-18,117.11500000000001
2010-03-19,116.025
2010-03-22,116.71000000000001
2010-03-23,117.405
2010-03-24,116.845
2010-03-25,116.58500000000001
2010-03-26,116.785
2010-03-29,117.32499999999999
2010-03-30,117.375
2010-03-31,117.185
2010-04-01,117.815
2010-04-05,118.765
2010-04-06,119.035
2010-04-07,118.32499999999999
2010-04-08,118.85
2010-04-09,119.695
2010-04-12,119.69
2010-04-13,120.055
2010-04-14,121.175
2010-04-15,121.275
2010-04-16,119.415
2010-04-19,119.995
2010-04-20,121.085
2010-04-21,120.16
2010-04-22,120.64500000000001
2010-04-23,121.65
2010-04-26,121.25999999999999
2010-04-27,118.475
2010-04-28,119.465
2010-04-29,120.995
2010-04-30,119.08500000000001
2010-05-03,120.235
2010-05-04,117.57
2010-05-05,116.88499999999999
2010-05-06,112.875
2010-05-07,111.43
2010-05-10,116.16
2010-05-11,115.57499999999999
2010-05-12,117.38
2010-05-13,116.065
2010-05-14,114.065
2010-05-17,114.015
2010-05-18,112.08
2010-05-19,111.64500000000001
2010-05-20,106.89
2010-05-21,108.995
2010-05-24,107.285
2010-05-25,107.965
2010-05-26,106.455
2010-05-27,110.555
2010-05-28,109.07499999999999
2010-06-01,107.435
2010-06-02,110.235
2010-06-03,110.935
2010-06-04,107.19
2010-06-07,105.37
2010-06-08,106.5
2010-06-09,106.00999999999999
2010-06-10,108.995
2010-06-11,109.515
2010-06-14,109.57
2010-06-15,111.815
2010-06-16,111.89500000000001
2010-06-17,112.12
2010-06-18,111.555
2010-06-21,111.505
2010-06-22,109.565
2010-06-23,109.13499999999999
2010-06-24,107.58500000000001
2010-06-25,107.915
2010-06-28,107.39500000000001
2010-06-29,104.015
2010-06-30,102.965
2010-07-01,102.735
2010-07-02,102.065
2010-07-06,102.935
2010-07-07,106.42500000000001
2010-07-08,107.155
2010-07-09,107.66
2010-07-12,108.13499999999999
2010-07-13,110.07499999999999
2010-07-14,109.655
2010-07-15,109.735
2010-07-16,106.91499999999999
2010-07-19,106.595
2010-07-20,108.985
2010-07-21,106.89500000000001
2010-07-22,109.11500000000001
2010-07-23,110.66499999999999
2010-07-26,111.435
2010-07-27,111.58500000000001
2010-07-28,110.765
2010-07-29,110.215
2010-07-30,110.5
2010-08-02,112.655
2010-08-03,112.31
