DATE,SDY
2009-06-04,40.47
2009-06-05,40.28
2009-06-08,39.59
2009-06-09,39.4
2009-06-10,39.295
2009-06-11,39.285
2009-06-12,39.465
2009-06-15,38.765
2009-06-16,38.075
2009-06-17,38.015
2009-06-18,38.405
2009-06-19,38.98
2009-06-22,38.79
2009-06-23,37.175
2009-06-24,37.49
2009-06-25,37.5
2009-06-26,37.61
2009-06-29,38.235
2009-06-30,38.03
2009-07-01,38.445
2009-07-02,37.78
2009-07-06,37.45
2009-07-07,36.755
2009-07-08,37.6
2009-07-09,37.61
2009-07-10,36.62000000000001
2009-07-13,38.0
2009-07-14,38.275
2009-07-15,38.705
2009-07-16,40.52
2009-07-17,38.945
2009-07-20,40.75
2009-07-21,39.47
2009-07-22,39.705
2009-07-23,40.88
2009-07-24,41.095
2009-07-27,41.295
2009-07-28,41.46
2009-07-29,41.405
2009-07-30,41.63500000000001
2009-07-31,41.585
2009-08-03,42.02
2009-08-04,42.18
2009-08-05,43.05
2009-08-06,42.705
2009-08-07,42.65000000000001
2009-08-10,42.455
2009-08-11,42.15
2009-08-12,43.14
2009-08-13,42.565
2009-08-14,43.025
2009-08-17,42.475
2009-08-18,41.755
2009-08-19,42.095
2009-08-20,42.64
2009-08-21,43.02500000000001
2009-08-24,43.12000000000001
2009-08-25,43.5
2009-08-26,43.48
2009-08-27,43.565
2009-08-28,43.615
2009-08-31,43.17
2009-09-01,42.54
2009-09-02,41.96
2009-09-03,42.32
2009-09-04,42.48
2009-09-08,42.625
2009-09-09,42.825
2009-09-10,43.385
2009-09-11,42.935
2009-09-14,43.985
2009-09-15,45.36
2009-09-16,46.805
2009-09-17,45.54
2009-09-18,45.54
2009-09-21,46.29
2009-09-22,45.52
2009-09-23,44.27
2009-09-24,44.025
2009-09-25,43.74
2009-09-28,44.16
2009-09-29,44.395
2009-09-30,44.395
2009-10-01,43.86
2009-10-02,43.425
2009-10-05,43.34
2009-10-06,43.76
2009-10-07,43.78
2009-10-08,44.665000000000006
2009-10-09,44.790000000000006
2009-10-12,44.88500000000001
2009-10-13,44.86
2009-10-14,45.46
2009-10-15,45.540000000000006
2009-10-16,45.49
2009-10-19,45.945
2009-10-20,45.805
2009-10-21,45.685
2009-10-22,45.805
2009-10-23,45.38500000000001
2009-10-26,44.875
2009-10-27,45.47
2009-10-28,45.13
2009-10-29,44.98
2009-10-30,44.94
2009-11-02,44.125
2009-11-03,44.915
2009-11-04,44.69
2009-11-05,44.615
2009-11-06,44.76000000000001
2009-11-09,45.59
2009-11-10,45.445
2009-11-11,45.71
2009-11-12,45.245
2009-11-13,45.475
2009-11-16,46.07
2009-11-17,46.1
2009-11-18,46.075
2009-11-19,45.7
2009-11-20,45.74500000000001
2009-11-23,45.90000000000001
2009-11-24,46.2
2009-11-25,46.115
2009-11-27,45.415
2009-11-30,45.48
2009-12-01,46.14
2009-12-02,46.46
2009-12-03,46.07
2009-12-04,46.63500000000001
2009-12-07,46.57
2009-12-08,45.98
2009-12-09,45.9
2009-12-10,46.265
2009-12-11,46.505
2009-12-14,47.23
2009-12-15,46.645
2009-12-16,46.625
2009-12-17,46.52500000000001
2009-12-18,45.585
2009-12-21,46.31
2009-12-22,46.45
2009-12-23,46.485
2009-12-24,46.75
2009-12-28,46.785
2009-12-29,46.89
2009-12-30,46.9
2009-12-31,46.535
2010-01-04,46.785
2010-01-05,46.455
2010-01-06,46.40000000000001
2010-01-07,46.945
2010-01-08,46.945
2010-01-11,47.07
2010-01-12,46.905
2010-01-13,47.325
2010-01-14,47.215
2010-01-15,47.175
2010-01-19,47.4
2010-01-20,47.22
2010-01-21,46.48
2010-01-22,45.835
2010-01-25,46.295
2010-01-26,45.895
2010-01-27,45.97
2010-01-28,45.555
2010-01-29,45.235
2010-02-01,45.51000000000001
2010-02-02,46.13
2010-02-03,46.635
2010-02-04,45.375
2010-02-05,44.83
2010-02-08,44.64
2010-02-09,45.11
2010-02-10,45.05
2010-02-11,45.49500000000001
2010-02-12,45.625
2010-02-16,46.245
2010-02-17,46.615
2010-02-18,47.18
2010-02-19,47.175
2010-02-22,47.21
2010-02-23,46.86
2010-02-24,47.1
2010-02-25,47.22
2010-02-26,46.905
2010-03-01,47.435
2010-03-02,47.565
2010-03-03,47.81
2010-03-04,47.965
2010-03-05,48.41
2010-03-08,49.26
2010-03-09,48.515
2010-03-10,48.655
2010-03-11,48.765
2010-03-15,48.82
2010-03-16,49.085
2010-03-17,49.455
2010-03-18,49.485
2010-03-19,48.85
2010-03-22,49.115
2010-03-23,49.455
2010-03-24,49.14
2010-03-25,48.81
2010-03-26,49.12000000000001
2010-03-29,49.38500000000001
2010-03-30,49.395
2010-03-31,49.38
2010-04-01,49.72
2010-04-05,49.925
2010-04-06,50.12000000000001
2010-04-07,49.94
2010-04-08,49.805
2010-04-09,50.195
2010-04-12,50.175
2010-04-13,50.16
2010-04-14,50.475
2010-04-15,50.63500000000001
2010-04-16,50.24500000000001
2010-04-19,50.24
2010-04-20,50.64
2010-04-21,50.695
2010-04-22,50.925
2010-04-23,52.31
2010-04-26,51.13
2010-04-27,50.455
2010-04-28,50.5
2010-04-29,50.98
2010-04-30,50.51000000000001
2010-05-03,50.97
2010-05-04,50.05
2010-05-05,49.68
2010-05-06,48.06
2010-05-07,47.06
2010-05-10,49.065
2010-05-11,49.435
2010-05-12,49.99
2010-05-13,49.82
2010-05-14,48.875
2010-05-17,49.075
2010-05-18,48.7
2010-05-19,48.25
2010-05-20,46.595
2010-05-21,46.83
2010-05-24,46.59
2010-05-25,46.3
2010-05-26,45.875
2010-05-27,47.34
2010-05-28,46.85
2010-06-01,46.11
2010-06-02,47.09
2010-06-03,47.39
2010-06-04,46.175
2010-06-07,45.24
2010-06-08,45.71
2010-06-09,45.82
2010-06-10,47.335
2010-06-11,47.465
2010-06-14,47.59
2010-06-15,48.465
2010-06-16,48.540000000000006
2010-06-17,48.17
2010-06-18,48.17
2010-06-21,48.1
2010-06-22,47.38500000000001
2010-06-23,47.035
2010-06-24,46.66
2010-06-25,46.66
2010-06-28,46.825
2010-06-29,45.49500000000001
2010-06-30,45.155
2010-07-01,44.945
2010-07-02,44.89
2010-07-06,45.015
2010-07-07,46.25
2010-07-08,46.90000000000001
2010-07-09,47.15
2010-07-12,47.03
2010-07-13,47.89
2010-07-14,47.565
2010-07-15,47.49
2010-07-16,46.475
2010-07-19,46.465
2010-07-20,47.695
2010-07-21,46.985
2010-07-22,48.085
2010-07-23,48.66
2010-07-26,49.585
2010-07-27,49.77500000000001
2010-07-28,48.96
2010-07-29,48.975
2010-07-30,48.39
2010-08-02,49.445
2010-08-03,49.19
2010-08-04,49.2
2010-08-05,48.885
2010-08-06,48.57
2010-08-09,49.040000000000006
2010-08-10,48.975
2010-08-11,47.485
2010-08-12,47.3
2010-08-13,47.16
2010-08-16,47.265
2010-08-17,47.72
2010-08-18,47.72
2010-08-19,47.26000000000001
2010-08-20,47.13500000000001
2010-08-23,46.655
2010-08-24,46.415
2010-08-25,46.585
2010-08-26,46.355
2010-08-27,47.11
2010-08-30,46.595
2010-08-31,46.555
2010-09-01,47.685
2010-09-02,48.05
2010-09-03,48.425
2010-09-07,47.985
2010-09-08,48.13500000000001
2010-09-09,48.5
2010-09-10,48.695
2010-09-13,49.14
2010-09-14,49.275
2010-09-15,49.565
2010-09-16,49.56
2010-09-17,48.975
2010-09-20,49.74
2010-09-21,49.535
2010-09-22,49.64
